stat_id,word,freq.,cap_lower,cap_upper,cap_title,cap_other
232,connect,43,43,0,0,0
233,war,15,14,0,1,0
234,century,25,24,0,1,0
235,life,63,63,0,0,0
236,Royal,8,0,0,8,0
237,Navy,6,0,0,6,0
238,employ,12,12,0,0,0
239,payroll,1,1,0,0,0
240,need,135,128,0,7,0
241,martial,4,4,0,0,0
242,fight,30,28,0,2,0
243,doubt,18,18,0,0,0
244,culture,12,12,0,0,0
245,firm,15,13,0,2,0
246,raw,6,5,0,1,0
247,pleasure,4,4,0,0,0
248,anarchy,1,1,0,0,0
249,guy,11,11,0,0,0
250,take,213,196,0,17,0
251,impossible,4,3,0,1,0
252,odd,4,4,0,0,0
253,apparently,9,7,0,2,0
254,thus,22,11,0,11,0
255,necessity,1,1,0,0,0
256,live,62,51,0,11,0
257,midst,1,1,0,0,0
258,diabolical,2,2,0,0,0
259,citizen,5,5,0,0,0
260,write,66,58,0,8,0
261,real,38,36,0,2,0
262,unavoidable,2,2,0,0,0
263,calamity,1,1,0,0,0
264,me,89,88,0,1,0
265,collection,30,27,0,3,0
266,demon,1,1,0,0,0
267,whole,40,39,0,1,0
268,earth,6,4,0,2,0
269,quotation,4,4,0,0,0
270,select,16,16,0,0,0
271,relish,2,2,0,0,0
272,new,199,192,1,6,0
273,book,91,82,0,9,0
274,gang,1,1,0,0,0
275,name,68,68,0,0,0
276,train,45,44,0,1,0
277,Saturday,14,0,0,14,0
278,connection,16,16,0,0,0
279,north,9,9,0,0,0
280,core,2,1,0,1,0
281,member,69,65,0,4,0
282,probably,23,22,0,1,0
283,describe,16,16,0,0,0
284,though,32,31,0,1,0
285,perhaps,14,11,0,3,0
286,general,20,20,0,0,0
287,armed,2,2,0,0,0
288,force,26,26,0,0,0
289,island,18,18,0,0,0
290,its,17,17,0,0,0
291,just,116,108,0,8,0
292,England,32,0,0,32,0
293,kick,8,8,0,0,0
294,off,43,43,0,0,0
295,builder,3,3,0,0,0
296,further,63,58,0,5,0
297,qualified,4,4,0,0,0
298,five,15,15,0,0,0
299,prison,5,5,0,0,0
300,violence,4,4,0,0,0
301,volume,12,10,0,2,0
302,sell,33,32,0,1,0
303,well,125,116,0,9,0
304,aid,16,16,0,0,0
305,campaign,13,13,0,0,0
306,paper,33,32,0,1,0
307,headline,1,1,0,0,0
308,Thug,1,0,0,1,0
309,advertising,7,7,0,0,0
310,return,54,51,0,3,0
311,previous,14,12,0,2,0
312,night,20,20,0,0,0
313,march,1,1,0,0,0
314,July,55,0,1,54,0
315,British,53,2,0,51,0
316,hang,11,11,0,0,0
317,jacket,1,1,0,0,0
318,orange,4,4,0,0,0
319,sash,1,1,0,0,0
320,mark,15,15,0,0,0
321,Loyal,1,0,0,1,0
322,Orange,2,0,0,2,0
323,Lodge,1,0,0,1,0
324,right,86,82,0,4,0
325,wing,6,6,0,0,0
326,lark,1,1,0,0,0
327,true,18,18,0,0,0
328,strong,18,17,0,1,0
329,tradition,3,3,0,0,0
330,sailor,2,2,0,0,0
331,station,33,33,0,0,0
332,World,27,0,3,24,0
333,want,84,82,0,2,0
334,love,33,32,0,1,0
335,my,183,165,0,18,0
336,Queen,5,0,0,5,0
337,country,41,41,0,0,0
338,candidate,13,13,0,0,0
339,South,25,0,1,24,0
340,hybrid,2,2,0,0,0
341,platform,11,11,0,0,0
342,blend,6,6,0,0,0
343,militant,3,3,0,0,0
344,demand,9,9,0,0,0
345,magistrate,2,2,0,0,0
346,qualify,8,8,0,0,0
347,duty-free,1,1,0,0,0
348,booze,1,1,0,0,0
349,ferry,1,1,0,0,0
350,antic,1,1,0,0,0
351,lore,1,1,0,0,0
352,bicycle,1,1,0,0,0
353,mock,1,1,0,0,0
354,student,51,42,0,9,0
355,recall,3,3,0,0,0
356,pile,4,4,0,0,0
357,bike,3,3,0,0,0
358,outside,15,15,0,0,0
359,pub,8,8,0,0,0
360,tell,60,54,0,6,0
361,load,14,14,0,0,0
362,Japanese,3,0,0,3,0
363,American,14,0,0,14,0
364,tourist,12,11,0,1,0
365,art,32,31,0,1,0
366,project,59,55,0,4,0
367,start,83,79,0,4,0
368,photograph,7,6,0,1,0
369,around,56,53,0,3,0
370,relieve,5,5,0,0,0
371,hear,28,28,0,0,0
372,prospect,6,5,1,0,0
373,cause,63,63,0,0,0
374,CCTV,1,0,1,0,0
375,helicopter,6,6,0,0,0
376,police,20,20,0,0,0
377,intelligence,2,2,0,0,0
378,network,22,21,0,1,0
379,complain,7,7,0,0,0
380,problem,64,63,0,1,0
381,willing,7,7,0,0,0
382,cut,19,18,0,1,0
383,ratio,3,3,0,0,0
384,thug,1,1,0,0,0
385,lower,5,5,0,0,0
386,downhill,1,1,0,0,0
387,count,2,2,0,0,0
388,landscape,48,44,0,4,0
389,between,89,86,0,3,0
390,coast,9,9,0,0,0
391,behind,22,21,0,1,0
392,Down,3,0,0,3,0
393,tumble,3,3,0,0,0
394,sea,18,18,0,0,0
395,bump,2,2,0,0,0
396,suburb,1,1,0,0,0
397,scene,14,11,0,3,0
398,riot,2,2,0,0,0
399,street,13,13,0,0,0
400,resident,3,3,0,0,0
401,very,134,128,0,6,0
402,better,17,17,0,0,0
403,cut-off,1,1,0,0,0
404,description,7,5,0,2,0
405,key,31,31,0,0,0
406,unlock,2,2,0,0,0
407,enter,27,27,0,0,0
408,tough,8,8,0,0,0
409,compliment,1,1,0,0,0
410,continue,56,56,0,0,0
411,refusal,1,1,0,0,0
412,style,23,22,0,1,0
413,guru,2,2,0,0,0
414,toss,1,1,0,0,0
415,Tony,10,0,1,9,0
416,rebranded,1,1,0,0,0
417,far,38,38,0,0,0
418,thank,20,14,0,6,0
419,money,33,32,0,1,0
420,move,55,49,0,6,0
421,One,28,0,0,28,0
422,man,49,47,0,2,0
423,call,80,79,0,1,0
424,Marine,1,0,0,1,0
425,full,70,66,0,4,0
426,Tuesday,6,0,0,6,0
427,band,14,14,0,0,0
428,singer,2,2,0,0,0
429,long,75,73,0,2,0
430,hair,8,8,0,0,0
431,beard,2,2,0,0,0
432,cop,1,1,0,0,0
433,sharp,7,7,0,0,0
434,drug,18,18,0,0,0
435,squad,2,2,0,0,0
436,ban,13,13,0,0,0
437,uniform,22,16,1,5,0
438,duty,19,18,0,1,0
439,chuck,2,1,1,0,0
440,pocket,7,6,0,1,0
441,pick,13,13,0,0,0
442,lad,1,1,0,0,0
443,pound,7,6,0,1,0
444,enough,25,25,0,0,0
445,couple,10,10,0,0,0
446,pint,3,3,0,0,0
447,Super,1,0,0,1,0
448,throw,9,8,0,1,0
449,allow,82,81,0,1,0
450,job,42,41,1,0,0
451,birthday,2,2,0,0,0
452,rough,3,3,0,0,0
453,few,49,46,0,3,0
454,turn,47,46,0,1,0
455,nick,1,1,0,0,0
456,put,64,62,0,2,0
457,bar,10,10,0,0,0
458,manager,13,13,0,0,0
459,pay,38,37,0,1,0
460,copper,2,2,0,0,0
461,part,79,74,2,3,0
462,run,63,60,0,3,0
463,junk,1,1,0,0,0
464,heroin,1,1,0,0,0
465,poverty,23,22,0,1,0
466,round,27,27,0,0,0
467,basic,11,11,0,0,0
468,thought,15,15,0,0,0
469,dog,12,12,0,0,0
470,floor,6,6,0,0,0
471,furniture,14,14,0,0,0
472,telly,1,1,0,0,0
473,taxi,1,1,0,0,0
474,domestic,12,9,0,3,0
475,sign,33,32,0,1,0
476,accept,20,20,0,0,0
477,scare,2,2,0,0,0
478,woman,22,21,0,1,0
479,mother,25,18,0,7,0
480,same,51,51,0,0,0
481,survey,11,10,0,1,0
482,birthplace,1,1,0,0,0
483,aggressive,4,4,0,0,0
484,tribal,2,2,0,0,0
485,while,43,36,0,7,0
486,group,52,52,0,0,0
487,young,42,40,0,2,0
488,ask,56,51,0,5,0
489,First,7,0,0,7,0
490,second,29,29,0,0,0
491,drunk,1,1,0,0,0
492,third,18,17,0,1,0
493,French,22,0,0,22,0
494,France,13,0,0,13,0
495,marry,4,4,0,0,0
496,Englishman,1,0,0,1,0
497,terrace,4,4,0,0,0
498,cup,2,2,0,0,0
499,neighbour,9,9,0,0,0
500,six,12,12,0,0,0
501,months,1,1,0,0,0
502,yet,26,22,0,4,0
503,owner,8,8,0,0,0
504,foreign,8,8,0,0,0
505,Serb,1,0,0,1,0
506,Bulgarian,2,0,0,2,0
507,forward,14,14,0,0,0
508,line,58,57,0,1,0
509,Dutchman,1,0,0,1,0
510,buy,46,45,0,1,0
511,Croatian,1,0,0,1,0
512,Frenchman,2,0,0,2,0
513,team-mate,1,1,0,0,0
514,talk,35,34,0,1,0
515,him,49,49,0,0,0
516,cosmopolitan,2,2,0,0,0
517,welcome,32,28,0,4,0
518,outsider,1,1,0,0,0
519,dilemma,3,3,0,0,0
520,face,57,57,0,0,0
521,chairman,8,8,0,0,0
522,fervour,2,2,0,0,0
523,hero,10,10,0,0,0
524,honorary,2,2,0,0,0
525,University,59,0,0,59,0
526,Road,14,0,0,14,0
527,invest,8,8,0,0,0
528,purse,1,1,0,0,0
529,adamant,1,1,0,0,0
530,proceed,2,2,0,0,0
531,task,13,13,0,0,0
532,stabilise,2,2,0,0,0
533,finish,16,16,0,0,0
534,next,71,66,0,5,0
535,happy,13,12,0,1,0
536,meanwhile,5,1,0,4,0
537,look,81,74,0,7,0
538,build,71,70,0,1,0
539,infrastructure,6,6,0,0,0
540,financial,17,17,0,0,0
541,full-time,1,1,0,0,0
542,big,27,27,0,0,0
543,stadium,8,8,0,0,0
544,shopping,11,10,0,1,0
545,hotel,9,9,0,0,0
546,stuff,8,8,0,0,0
547,extra,22,22,0,0,0
548,revenue,4,3,0,1,0
549,shirt,8,8,0,0,0
550,capacity,11,11,0,0,0
551,happen,27,27,0,0,0
552,realise,8,7,0,1,0
553,able,45,43,0,2,0
554,compete,7,7,0,0,0
555,try,75,67,0,8,0
556,educate,3,3,0,0,0
557,world,21,21,0,0,0
558,view,44,42,0,2,0
559,fans,1,1,0,0,0
560,hallmark,1,1,0,0,0
561,lot,41,39,0,2,0
562,effort,22,22,0,0,0
563,show,86,84,0,2,0
564,arrange,12,12,0,0,0
565,public,62,59,0,3,0
566,let,22,17,0,5,0
567,nasty,2,2,0,0,0
568,influence,17,17,0,0,0
569,am,34,34,0,0,0
570,barbecue,1,1,0,0,0
571,friendly,7,7,0,0,0
572,host,21,21,0,0,0
573,house,63,62,0,1,0
574,crew,30,30,0,0,0
575,teenager,2,2,0,0,0
576,choose,21,21,0,0,0
577,current,41,40,0,1,0
578,fashion,5,5,0,0,0
579,usually,33,32,0,1,0
580,preppy,1,1,0,0,0
581,check,26,22,0,4,0
582,design,36,34,0,2,0
583,House,30,0,0,30,0
584,son,12,11,0,1,0
585,escapade,1,1,0,0,0
586,plan,82,69,0,13,0
587,confidence,10,10,0,0,0
588,parent,21,21,0,0,0
589,enlist,1,1,0,0,0
590,dad,2,2,0,0,0
591,teach,37,36,0,1,0
592,learn,36,34,0,2,0
593,code,15,15,0,0,0
594,honour,8,6,0,2,0
595,liberty,6,6,0,0,0
596,rule,18,18,0,0,0
597,regulation,16,15,0,1,0
598,Wolves,1,0,0,1,0
599,kid,10,9,0,1,0
600,spit,2,2,0,0,0
601,whatever,13,9,0,4,0
602,fracas,1,1,0,0,0
603,Christmas,17,0,0,17,0
604,particular,29,29,0,0,0
605,term,49,44,0,5,0
606,dock,7,7,0,0,0
607,strike,24,19,0,5,0
608,blackleg,1,1,0,0,0
609,labour,6,6,0,0,0
610,breach,2,2,0,0,0
611,picket,1,1,0,0,0
612,boy,7,6,0,1,0
613,window,18,15,0,3,0
614,morning,21,21,0,0,0
615,coastline,2,2,0,0,0
616,comfortably,1,1,0,0,0
617,beer,2,2,0,0,0
618,family,34,32,0,2,0
619,room,21,21,0,0,0
620,Urban,6,0,0,6,0
621,Guerillas,1,0,0,1,0
622,board,5,5,0,0,0
623,change,79,75,0,4,0
624,trouble,10,9,0,1,0
625,warning,10,9,1,0,0
626,suffer,16,16,0,0,0
627,embarrassment,1,1,0,0,0
628,Green,35,0,0,35,0
629,bunch,6,6,0,0,0
630,already,29,27,0,2,0
631,antisocial,1,0,0,1,0
632,veteran,2,2,0,0,0
633,combatant,1,1,0,0,0
634,pathetic,2,2,0,0,0
635,Queens,3,0,0,3,0
636,deed,1,1,0,0,0
637,poll,1,1,0,0,0
638,Club,13,0,0,13,0
639,serially,1,1,0,0,0
640,tattoo,3,3,0,0,0
641,blue,18,17,0,1,0
642,wig,2,2,0,0,0
643,tall,3,3,0,0,0
644,hat,3,3,0,0,0
645,spend,18,18,0,0,0
646,price,29,25,0,4,0
647,paperback,5,1,0,4,0
648,leather-bound,1,1,0,0,0
649,treasure,7,7,0,0,0
650,fair,8,8,0,0,0
651,cover,34,33,0,1,0
652,dealer,9,8,0,1,0
653,month,37,36,0,1,0
654,after,139,104,0,35,0
655,rage,4,3,0,1,0
656,large,66,62,0,4,0
657,incident,3,3,0,0,0
658,involve,27,27,0,0,0
659,defeat,7,7,0,0,0
660,jump,13,13,0,0,0
661,roof,9,9,0,0,0
662,row,5,5,0,0,0
663,suite,5,5,0,0,0
664,dress,4,3,0,1,0
665,regalia,1,1,0,0,0
666,belly,1,1,0,0,0
667,prance,1,1,0,0,0
668,ring,14,14,0,0,0
669,lead,49,47,0,2,0
670,tune,5,5,0,0,0
671,favourite,13,13,0,0,0
672,assistant,3,3,0,0,0
673,Smith,6,0,0,6,0
674,steward,1,1,0,0,0
675,remove,28,28,0,0,0
676,approach,43,42,0,1,0
677,fear,10,10,0,0,0
678,cheer,3,3,0,0,0
679,minute,39,39,0,0,0
680,become,85,85,0,0,0
681,likely,18,18,0,0,0
682,walk,20,18,0,2,0
683,carpet,1,1,0,0,0
684,lay,16,16,0,0,0
685,finally,23,19,0,4,0
686,conquer,4,4,0,0,0
687,provide,131,129,0,2,0
688,within,71,69,0,2,0
689,response,35,33,0,2,0
690,Bollocks,1,0,0,1,0
691,publish,41,38,0,3,0
692,late,46,43,0,3,0
693,novel,6,6,0,0,0
694,FC,2,0,2,0,0
695,Sir,9,0,0,9,0
696,founder,1,1,0,0,0
697,goalkeeper,1,1,0,0,0
698,final,38,38,0,0,0
699,star,5,5,0,0,0
700,trick,1,1,0,0,0
701,original,23,21,0,2,0
702,kit,6,6,0,0,0
703,salmon,1,1,0,0,0
704,nickname,1,1,0,0,0
705,Shrimps,1,0,0,1,0
706,dark,16,16,0,0,0
707,captain,5,5,0,0,0
708,director,8,7,0,1,0
709,axe,2,2,0,0,0
710,number,80,80,0,0,0
711,drop,9,8,0,1,0
712,organiser,5,5,0,0,0
713,Series,1,0,0,1,0
714,surf,4,4,0,0,0
715,event,46,46,0,0,0
716,announce,15,14,0,1,0
717,addition,9,8,0,1,0
718,music,20,20,0,0,0
719,element,25,24,0,1,0
720,location,13,13,0,0,0
721,overlook,2,2,0,0,0
722,Watergate,1,0,0,1,0
723,Bay,7,0,0,7,0
724,beach,11,11,0,0,0
725,include,139,133,0,6,0
726,performance,49,44,0,5,0
727,headliner,2,2,0,0,0
728,Friday,10,0,0,10,0
729,career,13,11,1,1,0
730,army,8,8,0,0,0
731,NATO,1,0,1,0,0
732,troop,6,6,0,0,0
733,Kosovo,1,0,0,1,0
734,via,19,19,0,0,0
735,industry,77,75,0,2,0
736,showcase,6,6,0,0,0
737,each,6,5,0,1,0
738,debut,5,5,0,0,0
739,chart,6,6,0,0,0
740,fruit,10,10,0,0,0
741,support,140,138,0,2,0
742,slot,5,5,0,0,0
743,wit,3,3,0,0,0
744,appearance,9,9,0,0,0
745,regular,9,9,0,0,0
746,airplay,1,1,0,0,0
747,national,38,37,0,1,0
748,radio,8,7,0,1,0
749,track,15,15,0,0,0
750,album,9,9,0,0,0
751,appear,39,39,0,0,0
752,legendary,3,3,0,0,0
753,songwriter,1,1,0,0,0
754,cement,4,4,0,0,0
755,following,8,6,0,2,0
756,Jack,3,0,0,3,0
757,Johnson,6,0,0,6,0
758,earlier,4,4,0,0,0
759,impress,3,3,0,0,0
760,soulful,1,1,0,0,0
761,funky,2,2,0,0,0
762,set,92,87,1,4,0
763,title,15,14,0,1,0
764,hail,3,3,0,0,0
765,California,4,0,0,4,0
766,famous,10,10,0,0,0
767,talent,5,4,0,1,0
768,film,25,25,0,0,0
769,rocky,1,1,0,0,0
770,sure,44,43,0,1,0
771,prove,16,16,0,0,0
772,crowd,5,5,0,0,0
773,winner,5,3,0,2,0
774,New,51,0,0,51,0
775,experience,53,51,0,2,0
776,huge,13,13,0,0,0
777,success,18,15,1,2,0
778,working,6,6,0,0,0
779,producer,11,11,0,0,0
780,Heads,1,0,0,1,0
781,Sawmills,1,0,0,1,0
782,produce,49,48,0,1,0
783,hit,17,16,0,1,0
784,confirm,15,15,0,0,0
785,Live,6,0,3,3,0
786,summer,12,12,0,0,0
787,March,41,0,1,40,0
788,shoot,9,9,0,0,0
789,resonate,2,2,0,0,0
790,form,57,56,0,1,0
791,rock,8,8,0,0,0
792,act,29,26,0,3,0
793,release,20,19,0,1,0
794,storm,2,2,0,0,0
795,busy,14,14,0,0,0
796,ahead,9,9,0,0,0
797,Radio,18,0,0,18,0
798,line-up,6,6,0,0,0
799,killer,1,1,0,0,0
800,guitar,4,4,0,0,0
801,hook,3,3,0,0,0
802,perform,27,27,0,0,0
803,intimate,2,2,0,0,0
804,gig,2,2,0,0,0
805,delight,7,7,0,0,0
806,add,41,36,0,5,0
807,week,38,35,0,3,0
808,feature,48,46,0,2,0
809,Freestyle,1,0,0,1,0
810,Session,3,0,0,3,0
811,truck,1,1,0,0,0
812,ramp,1,1,0,0,0
813,blow,7,7,0,0,0
814,mind,36,35,0,1,0
815,expect,31,30,0,1,0
816,rider,3,3,0,0,0
817,available,90,82,0,8,0
818,Web,17,0,1,16,0
819,info,8,8,0,0,0
820,limited,7,7,0,0,0
821,reduced,1,1,0,0,0
822,embargoed,1,0,0,1,0
823,market,63,61,0,2,0
824,salty,2,2,0,0,0
825,food,38,36,0,2,0
826,deliberately,3,3,0,0,0
827,target,30,30,0,0,0
828,child,101,99,0,2,0
829,accord,24,14,0,10,0
830,Action,5,0,0,5,0
831,Salt,4,0,0,4,0
832,Health,24,0,0,24,0
833,promotion,11,11,0,0,0
834,extremely,1,1,0,0,0
835,salt,15,15,0,0,0
836,school,58,56,0,2,0
837,marketing,12,11,0,1,0
838,practice,21,21,0,0,0
839,item,25,23,0,2,0
840,combination,13,11,0,2,0
841,least,41,41,0,0,0
842,technique,17,16,0,1,0
843,aim,28,27,0,1,0
844,product,56,55,0,1,0
845,Nutritionist,3,0,0,3,0
846,Chartered,1,0,0,1,0
847,Lewis,4,0,0,4,0
848,ethical,10,9,0,1,0
849,ensure,28,27,0,1,0
850,sustained,2,2,0,0,0
851,promotional,2,2,0,0,0
852,usage,5,5,0,0,0
853,vulnerable,4,4,0,0,0
854,crucial,4,4,0,0,0
855,stage,26,23,0,3,0
856,health,29,28,0,1,0
857,development,55,55,0,0,0
858,consumer,13,13,0,0,0
859,average,8,7,0,1,0
860,consist,11,11,0,0,0
861,savoury,2,2,0,0,0
862,processed,4,4,0,0,0
863,snack,2,2,0,0,0
864,combined,3,3,0,0,0
865,total,14,11,0,3,0
866,expenditure,2,2,0,0,0
867,typical,4,4,0,0,0
868,approximately,6,5,0,1,0
869,equivalent,10,10,0,0,0
870,daily,6,6,0,0,0
871,intake,3,3,0,0,0
872,packaging,4,4,0,0,0
873,positioning,1,1,0,0,0
874,enhance,19,19,0,0,0
875,sale,23,22,0,1,0
876,case,81,75,0,6,0
877,launch,27,26,0,1,0
878,web-based,3,3,0,0,0
879,movie,5,5,0,0,0
880,interactive,4,4,0,0,0
881,competition,20,18,0,2,0
882,win,27,27,0,0,0
883,high,76,73,0,3,0
884,profile,10,9,0,1,0
885,endorsement,2,2,0,0,0
886,cartoon,2,2,0,0,0
887,colour,21,21,0,0,0
888,claim,37,37,0,0,0
889,glass,6,6,0,0,0
890,milk,3,3,0,0,0
891,ideal,12,12,0,0,0
892,lunch,4,4,0,0,0
893,TV,52,0,52,0,0
894,advertisement,2,1,1,0,0
895,voucher,2,2,0,0,0
896,discount,5,4,0,1,0
897,liking,1,1,0,0,0
898,taste,3,3,0,0,0
899,childhood,1,1,0,0,0
900,seed,13,13,0,0,0
901,vascular,1,1,0,0,0
902,disease,26,26,0,0,0
903,increase,33,31,0,2,0
904,risk,31,31,0,0,0
905,develop,71,64,0,7,0
906,stroke,8,8,0,0,0
907,heart,28,26,0,2,0
908,later,35,35,0,0,0
909,link,50,49,0,1,0
910,osteoporosis,1,1,0,0,0
911,stomach,5,5,0,0,0
912,asthma,1,1,0,0,0
913,kidney,3,3,0,0,0
914,systematic,2,2,0,0,0
915,wish,22,21,0,1,0
916,habituate,1,1,0,0,0
917,tactic,1,1,0,0,0
918,healthy,6,6,0,0,0
919,less,29,29,0,0,0
