ngram_id,word_id,ngram_index
0,4291,4
0,1114,6
0,5465,11
0,4291,13
1,1114,1
1,4291,4
1,3452,13
1,4291,14
2,3452,5
2,4291,6
2,5465,10
3,4291,3
3,3452,12
3,5465,13
3,1114,14
4,3452,3
4,5465,4
4,1114,5
5,1114,6
5,3452,7
5,3452,10
5,1114,11
6,3452,0
6,1114,1
7,5465,0
7,1114,1
7,1114,5
8,1114,1
9,4291,4
9,1114,5
9,3452,13
10,3452,5
10,1114,11
11,1114,4
11,3452,12
12,3452,5
13,5465,1
14,1114,3
14,1114,9
15,1114,2
15,1114,7
15,4291,11
16,1114,1
16,4291,5
16,1114,10
16,3452,11
17,1114,1
17,3452,2
17,3452,7
17,5465,8
17,1114,9
18,3452,3
18,5465,4
18,1114,5
18,1114,10
18,3452,11
19,1114,1
19,3452,2
19,1114,8
20,1114,2
20,4291,6
20,3452,8
21,4291,1
21,3452,3
21,3452,7
21,4291,8
21,1114,10
21,3452,11
21,4291,12
22,3452,2
22,4291,3
22,1114,5
22,3452,6
22,4291,7
23,3452,0
23,1114,5
23,3452,15
24,3452,3
24,5465,4
24,1114,5
24,1114,14
25,1114,3
25,1114,12
25,3452,13
26,1114,6
26,3452,7
26,1114,11
27,3452,0
27,1114,1
27,4291,13
28,4291,4
28,3452,11
28,5465,12
28,1114,13
29,1114,0
29,1114,9
30,1114,0
30,5465,8
30,1114,11
30,4291,13
31,5465,0
31,1114,3
31,4291,5
32,3452,5
32,4291,6
32,5465,10
33,5465,0
33,1114,5
33,3452,11
34,1114,1
34,3452,7
34,4291,13
34,3452,14
36,3452,0
36,4291,1
36,3452,7
36,3452,12
37,1114,2
37,1114,7
37,4291,11
38,1114,1
38,4291,5
38,1114,10
38,3452,11
39,1114,0
39,3452,7
39,1114,10
40,1114,1
40,5465,4
40,3452,6
41,5465,0
41,3452,2
42,4291,1
42,3452,3
42,1114,10
43,1114,2
43,3452,9
44,3452,4
44,1114,13
44,3452,14
45,1114,6
45,3452,7
45,1114,12
46,1114,2
46,4291,7
46,4291,9
46,3452,10
47,1114,1
47,1114,6
48,1114,1
48,1114,6
49,1114,2
50,1114,6
51,1114,1
52,4291,6
53,1114,2
53,1114,6
54,1114,1
54,5465,5
54,3452,7
54,3452,8
55,5465,0
55,3452,2
55,3452,3
55,4291,8
56,4291,1
56,1114,7
56,1114,9
56,3452,11
57,1114,2
57,1114,4
57,3452,6
59,5465,0
59,4291,2
59,4291,10
59,3452,11
60,4291,4
60,3452,5
61,5465,4
61,4291,5
61,3452,6
62,5465,0
62,4291,1
62,3452,2
62,3452,4
62,1114,5
62,5465,6
63,3452,0
63,1114,1
63,5465,2
63,4291,8
63,3452,9
64,3452,1
64,1114,2
64,1114,8
64,4291,9
65,1114,2
65,4291,3
65,3452,6
65,1114,7
65,5465,8
66,3452,0
66,1114,1
66,5465,2
66,3452,12
67,3452,6
67,4291,12
68,4291,1
68,4291,7
68,3452,8
69,4291,2
69,3452,3
70,4291,2
70,3452,3
70,4291,6
70,4291,9
71,1114,8
71,3452,9
72,1114,3
72,3452,4
72,1114,7
73,3452,2
73,1114,3
73,5465,4
73,4291,6
73,5465,12
73,1114,14
74,5465,0
74,1114,2
74,1114,8
75,1114,2
75,4291,11
76,4291,4
76,3452,11
76,5465,12
76,1114,13
77,3452,3
77,5465,4
77,1114,5
78,5465,8
79,5465,3
79,4291,9
79,3452,10
79,1114,11
79,4291,13
79,3452,14
80,4291,4
80,3452,5
80,1114,6
80,4291,8
80,3452,9
80,3452,13
80,1114,14
81,3452,1
81,1114,2
81,1114,7
82,1114,1
82,3452,4
